#     FILENAME=Skynet_60333_barnard_33-nb_107271_56634.A.spect.cal.txt
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_1072
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1387963
#          UTC=11992
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.1342
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=176.09
#     EXPOSURE=118.38
#        FOCUS=37.049
#       RA,DEC=05:32:14.91, -04:40:06.56
#      RA(deg)=85.17580
#     DEC(deg)=-2.44630
#   WIDTH(deg)=4.4307x4.8706
#    AZIM(deg)=191.5431
#    ELEV(deg)=48.3010
#     COORDREF=RA_DEC_
#         HREF=85.2454
#         VREF=-2.4583
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.72, 2.23] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=289 
#      BOXTEMP=23 
#         TSYS=XX1:134.40, YY1:135.12
#         TSYS=XX2:121.55, YY2:146.84
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1427.45446     108.7370      96.4544    1411.82946     103.9850     146.6396
   1427.43920     109.0923      96.8333    1411.81420     104.2962     147.3413
   1427.42394     109.3305      97.1032    1411.79894     104.7387     147.5904
   1427.40868     109.5802      97.4998    1411.78368     105.0329     148.3473
   1427.39342     109.9503      97.8315    1411.76842     105.3093     148.7276
   1427.37816     110.1892      98.1469    1411.75316     105.6884     149.2571
   1427.36291     110.4291      98.7192    1411.73791     106.1762     149.4319
   1427.34765     110.7047      98.8846    1411.72265     106.4961     150.1353
   1427.33239     110.9858      99.4197    1411.70739     106.9174     150.4228
   1427.31713     111.3815      99.8087    1411.69213     107.1126     151.0233
   1427.30187     111.4267     100.0071    1411.67687     107.6243     151.4860
   1427.28661     111.6664     100.4398    1411.66161     107.8590     151.6703
   1427.27135     111.8919     100.7984    1411.64635     108.1004     152.0470
   1427.25609     112.2513     101.1452    1411.63109     108.4435     152.8847
   1427.24083     112.4554     101.5431    1411.61583     108.7392     153.0228
   1427.22558     112.7497     101.9453    1411.60058     109.3249     153.3205
   1427.21032     112.8326     102.2475    1411.58532     109.6312     153.7463
   1427.19506     113.2442     102.7090    1411.57006     109.8021     154.3938
   1427.17980     113.5003     102.8789    1411.55480     110.1384     154.5830
   1427.16454     113.6433     103.3117    1411.53954     110.3888     155.2038
   1427.14928     113.8555     103.5828    1411.52428     110.7553     155.1421
   1427.13402     114.0321     103.8889    1411.50902     111.1632     155.5432
   1427.11876     114.2332     104.1981    1411.49376     111.4527     156.0770
   1427.10351     114.4115     104.5701    1411.47851     111.6906     156.2961
   1427.08825     114.7112     105.0399    1411.46325     112.0678     156.7850
   1427.07299     114.8325     105.2467    1411.44799     112.2328     157.2989
   1427.05773     115.0426     105.5869    1411.43273     112.5774     157.5277
   1427.04247     115.1619     105.9240    1411.41747     112.8642     157.5828
   1427.02721     115.2636     106.1410    1411.40221     113.0165     158.2666
   1427.01195     115.5774     106.4564    1411.38695     113.3780     158.3088
   1426.99669     115.7674     106.8242    1411.37169     113.5434     158.7340
   1426.98144     116.0329     107.0924    1411.35644     113.9724     158.9114
   1426.96618     116.1604     107.3536    1411.34118     114.1970     159.5734
   1426.95092     116.2352     107.9857    1411.32592     114.4514     159.6250
